1,OD103968554910236001,OI:1396855491023600,NULL,,,,,2015-09-30,,0,ZERO_PAYMENT_ADVICE,postpaid,NON-FA,null,null,2590.00,2590.00,0,-2590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,null,
2,OD203988110796473000,OI:2398811079647300,NULL,,,,,2015-09-30,,0,ZERO_PAYMENT_ADVICE,postpaid,NON-FA,null,null,2800.00,2800.00,0,-2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,null,
3,OD403934276329385000,OI:4393427632938500,NULL,,,,,2015-09-30,,0,NFT-150930141GN00073XXXXXXX,prepaid,NON-FA,null,null,3040.00,3040.00,0,0.00,0.00,-564.80,-79.07,2396.13,12.50,-380.00,2.50,-76.00,91.20,0.00,-10.00,0,2.20,-190.00,0.00,NATIONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-9,2015-09-18
4,OD403917010301908000,OI:4391701030190800,NULL,2015-09-15,2015-09-16,2015-09-21,,2015-09-30,delivered,1,NFT-150930141GN00073XXXXXXX,prepaid,NON-FA,ABS-DFT-SF-REVV-MRN-65,null,2290.00,2290.00,0,0.00,0.00,-384.80,-53.88,1851.32,12.50,-286.25,2.50,-57.25,68.70,0.00,-10.00,0,1.00,-100.00,0.00,NATIONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-7,2015-09-16
5,OD203927806671205000,OI:2392780667120500,NULL,2015-09-16,2015-09-17,2015-09-19,,2015-09-30,delivered,1,NFT-150930141GN00073XXXXXXX,prepaid,NON-FA,ABS-DFT-SF-MACH-PRP-65,null,2790.00,2790.00,0,0.00,0.00,-588.50,-82.38,2119.12,12.50,-348.75,2.50,-69.75,0.00,0.00,-10.00,0,2.50,-160.00,0.00,ZONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-8,2015-09-16
6,OD403897646613553000,OI:4389764661355300,NULL,2015-09-13,2015-09-14,2015-09-17,,2015-09-28,delivered,1,NFT-150928269GN00232XXXXXXX,postpaid,NON-FA,ABS-SAF-TR-VJ-50,null,3040.00,3040.00,0,0.00,0.00,-684.80,-95.87,2259.33,12.50,-380.00,2.50,-76.00,91.20,0.00,-10.00,0,4.20,-310.00,0.00,NATIONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-6,2015-09-13
7,OD203884046622685000,OI:300037347714926226,NULL,,,,,2015-09-24,,0,NFT-150924328GN00289XXXXXXX,postpaid,NON-FA,null,null,2790.00,2790.00,0,0.00,0.00,-504.80,-70.66,2214.54,12.50,-348.75,2.50,-69.75,83.70,0.00,-10.00,0,2.50,-160.00,0.00,ZONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-5,2015-09-12
8,OD003856583930114000,OI:300037347713446068,NULL,2015-09-08,2015-09-09,2015-09-13,,2015-09-21,delivered,1,NFT-150922058GN00015XXXXXXX,prepaid,NON-FA,ABS-DFT-SF-MACH-RED-65,null,2850.00,2850.00,0,0.00,0.00,-627.50,-87.86,2134.64,12.50,-356.25,2.50,-71.25,0.00,0.00,-10.00,0,2.40,-190.00,0.00,NATIONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-4,2015-09-08
9,OD303848034301441000,OI:300037347712944246,NULL,2015-09-07,2015-09-08,2015-09-13,,2015-09-21,delivered,1,NFT-150922058GN00015XXXXXXX,prepaid,NON-FA,ABS-DFT-SF-MACH-RED-65,null,2850.00,2850.00,0,0.00,0.00,-687.50,-96.26,2066.24,12.50,-356.25,2.50,-71.25,0.00,0.00,-10.00,0,3.20,-250.00,0.00,NATIONAL,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,F0DA3CH16-2,2015-09-07
10,OD103950152798574000,OI:1395015279857400,NULL,2015-09-19,,,2015-09-19,2015-09-21,cancelled,1,NFT-150921298GN00217XXXXXXX,postpaid,NON-FA,ABS-DFT-SF-MACH-RED-55,null,2600.00,2600.00,0,-2600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.00,null,0.00,0.00,0.00,null,
